c7,c10,c144,c151,c30,c31,c35,c106,c108,c117,c62,c65,c41,c49,c56,c128,c51,c101,c109,c156,c1
0.0,16.0,20.0,1.0,5.0,0.21999802688513478,1093.0,2.0,3.0,0.0,0.08145409071784657,0.0,1.0,4.0,0.5116741796371281,180.0,9.0,13.0,1.0,3.0,0
0.0,16.0,20.0,1.0,5.0,0.14130074188590577,1218.0,1.0,18.0,0.0,0.12218113607676984,0.0,3.0,2.0,0.05010474370032098,86.0,5.0,13.0,1.0,3.0,0
0.0,16.0,20.0,1.0,5.0,0.13860725254627326,1093.0,0.0,3.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.12978939633215678,180.0,9.0,13.0,1.0,3.0,0
0.0,0.0,20.0,1.0,5.0,0.1121974065275803,1093.0,1.0,3.0,0.0,0.04072704535892328,0.0,3.0,2.0,0.09819724869781783,86.0,9.0,13.0,1.0,3.0,0
0.0,12.0,10.0,1.0,5.0,0.09569439416799466,206.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.11308781509871643,14.0,9.0,13.0,1.0,3.0,0
0.0,19.0,10.0,1.0,5.0,0.08776036102608618,1187.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0,0.07586139909646993,14.0,3.0,13.0,3.0,3.0,0
0.0,16.0,20.0,1.0,5.0,0.11679464598859675,1218.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.21208995927766391,180.0,12.0,13.0,1.0,3.0,0
0.0,20.0,21.0,2.0,0.0,0.5485526578823545,1665.0,0.0,3.0,0.0,0.12218113607676984,0.0,3.0,0.0,1.9609266159021204,126.0,11.0,7.0,1.0,3.0,0
0.0,18.0,10.0,1.0,5.0,0.11381874077188261,2662.0,1.0,18.0,0.0,0.08145409071784657,0.0,1.0,2.0,0.01348199930892171,80.0,9.0,13.0,3.0,3.0,0
4.0,19.0,10.0,1.0,5.0,0.07643828038433072,1608.0,1.0,18.0,0.0,0.0,0.0,1.0,2.0,0.022738297341912735,14.0,9.0,13.0,2.0,3.0,0
4.0,22.0,20.0,1.0,5.0,0.2645225474550744,2006.0,1.0,3.0,0.0,0.08145409071784657,0.0,3.0,0.0,0.720582679481323,150.0,11.0,10.0,1.0,4.0,0
4.0,20.0,21.0,2.0,5.0,0.2259841247451764,1665.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.7244059330166889,52.0,1.0,6.0,3.0,3.0,0
4.0,12.0,10.0,1.0,5.0,0.19809998386246025,1237.0,1.0,18.0,0.0,0.04072704535892328,0.0,3.0,4.0,0.5012513137272508,126.0,9.0,13.0,1.0,3.0,0
4.0,19.0,10.0,1.0,5.0,0.20938697913325946,1560.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.6465322952173949,126.0,11.0,13.0,1.0,3.0,0
